SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
AFFLE,Affle 3i Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2,Communication Services
BAGFILMS,B.A.G Films and Media Limited,EQ,17-OCT-2003,2,1,INE116D01028,2,Communication Services
BALAJITELE,Balaji Telefilms Limited,BE,22-NOV-2000,2,1,INE794B01026,2,Communication Services
BCG,Brightcom Group Limited,EQ,08-MAY-2015,2,1,INE425B01027,2,Communication Services
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5,1,INE397D01024,5,Communication Services
BHARTIHEXA,Bharti Hexacom Limited,EQ,12-APR-2024,5,1,INE343G01021,5,Communication Services
BTML,Bodhi Tree Multimedia Limited,EQ,15-FEB-2023,1,1,INE0EEJ01023,1,Communication Services
CINELINE,Cineline India Limited,EQ,13-JUN-2012,5,1,INE704H01022,5,Communication Services
CINEVISTA,Cinevista Limited,BE,02-MAY-2000,2,1,INE039B01026,2,Communication Services
CREATIVEYE,Creative Eye Limited,BE,20-DEC-2000,5,1,INE230B01021,5,Communication Services
CYBERMEDIA,Cyber Media (India) Limited,EQ,10-JUN-2005,10,1,INE278G01037,10,Communication Services
DBCORP,D.B.Corp Limited,EQ,06-JAN-2010,10,1,INE950I01011,10,Communication Services
DEN,Den Networks Limited,EQ,24-NOV-2009,10,1,INE947J01015,10,Communication Services
DGCONTENT,Digicontent Limited,BE,18-JUN-2019,2,1,INE03JI01017,2,Communication Services
DISHTV,Dish TV India Limited,EQ,18-APR-2007,1,1,INE836F01026,1,Communication Services
DNAMEDIA,Diligent Media Corporation Limited,EQ,11-DEC-2017,1,1,INE016M01021,1,Communication Services
ENIL,Entertainment Network (India) Limited,EQ,15-FEB-2006,10,1,INE265F01028,10,Communication Services
GTL,GTL Limited,EQ,29-MAR-1995,10,1,INE043A01012,10,Communication Services
GTPL,GTPL Hathway Limited,EQ,04-JUL-2017,10,1,INE869I01013,10,Communication Services
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-FEB-2010,2,1,INE982F01036,2,Communication Services
HMVL,Hindustan Media Ventures Limited,EQ,21-JUL-2010,10,1,INE871K01015,10,Communication Services
HTMEDIA,HT Media Limited,BE,01-SEP-2005,2,1,INE501G01024,2,Communication Services
IDEA,Vodafone Idea Limited,EQ,09-MAR-2007,10,1,INE669E01016,10,Communication Services
IMAGICAA,Imagicaaworld Entertainment Limited,EQ,06-APR-2015,10,1,INE172N01012,10,Communication Services
INDIAMART,Indiamart Intermesh Limited,EQ,04-JUL-2019,10,1,INE933S01016,10,Communication Services
INDUSTOWER,Indus Towers Limited,EQ,28-DEC-2012,10,1,INE121J01017,10,Communication Services
JAGRAN,Jagran Prakashan Limited,EQ,22-FEB-2006,2,1,INE199G01027,2,Communication Services
JUSTDIAL,Just Dial Limited,EQ,05-JUN-2013,10,1,INE599M01018,10,Communication Services
MATRIMONY,Matrimony.Com Limited,EQ,21-SEP-2017,5,1,INE866R01028,5,Communication Services
MPSLTD,MPS Limited,EQ,21-JAN-2002,10,1,INE943D01017,10,Communication Services
MTNL,Mahanagar Telephone Nigam Limited,EQ,17-FEB-1999,10,1,INE153A01019,10,Communication Services
MUKTAARTS,Mukta Arts Limited,EQ,12-SEP-2000,5,1,INE374B01019,5,Communication Services
NAUKRI,Info Edge (India) Limited,EQ,21-NOV-2006,2,1,INE663F01032,2,Communication Services
NAVNETEDUL,Navneet Education Limited,EQ,08-FEB-1995,2,1,INE060A01024,2,Communication Services
NAZARA,Nazara Technologies Limited,EQ,30-MAR-2021,4,1,INE418L01021,4,Communication Services
NDLVENTURE,NDL Ventures Limited,EQ,24-APR-2007,10,1,INE353A01023,10,Communication Services
NDTV,New Delhi Television Limited,BE,19-MAY-2004,4,1,INE155G01029,4,Communication Services
NETWORK18,Network18 Media & Investments Limited,EQ,02-FEB-2007,5,1,INE870H01013,5,Communication Services
NEXTMEDIA,Next Mediaworks Limited,EQ,04-APR-2001,10,1,INE747B01016,10,Communication Services
