SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
AARVEEDEN,Aarvee Denims & Exports Limited,BE,21-NOV-2006,10,1,INE273D01019,10,Consumer Cyclical
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10,Consumer Cyclical
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-JUN-2025,10,1,INE14LE01019,10,Consumer Cyclical
ADL,Archidply Decor Limited,BE,01-OCT-2020,10,1,INE0CHO01012,10,Consumer Cyclical
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2,Consumer Cyclical
AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2,Consumer Cyclical
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10,Consumer Cyclical
AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10,Consumer Cyclical
AKI,AKI India Limited,BE,06-APR-2023,2,1,INE642Z01026,2,Consumer Cyclical
AKSHAR,Akshar Spintex Limited,BE,23-MAY-2022,1,1,INE256Z01025,1,Consumer Cyclical
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1,1,INE270A01029,1,Consumer Cyclical
ALPSINDUS,Alps Industries Limited,BE,24-APR-1996,10,1,INE093B01015,10,Consumer Cyclical
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10,Consumer Cyclical
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10,Consumer Cyclical
AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10,Consumer Cyclical
ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1,Consumer Cyclical
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1,Consumer Cyclical
ARCHIES,Archies Limited,BE,02-SEP-1998,2,1,INE731A01020,2,Consumer Cyclical
ARROWGREEN,Arrow Greentech Limited,EQ,21-MAY-2015,10,1,INE570D01018,10,Consumer Cyclical
ARVIND,Arvind Limited,EQ,08-FEB-1995,10,1,INE034A01011,10,Consumer Cyclical
ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019,4,1,INE955V01021,4,Consumer Cyclical
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1,Consumer Cyclical
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10,1,INE900C01027,10,Consumer Cyclical
ASHIMASYN,Ashima Limited,BE,27-JUL-1995,10,1,INE440A01010,10,Consumer Cyclical
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10,1,INE363A01022,10,Consumer Cyclical
ASKAUTOLTD,ASK Automotive Limited,EQ,15-NOV-2023,2,1,INE491J01022,2,Consumer Cyclical
ATHERENERG,Ather Energy Limited,EQ,06-MAY-2025,1,1,INE0LEZ01016,1,Consumer Cyclical
ATLASCYCLE,Atlas Cycles (Haryana) Limited,BE,23-OCT-1996,5,1,INE446A01025,5,Consumer Cyclical
ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5,1,INE951D01028,5,Consumer Cyclical
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,INE449A01011,10,Consumer Cyclical
AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,10,1,INE718H01014,10,Consumer Cyclical
AVL,Aditya Vision Limited,EQ,06-NOV-2024,1,1,INE679V01027,1,Consumer Cyclical
AVROIND,AVRO INDIA LIMITED,EQ,07-APR-2022,10,1,INE652Z01017,10,Consumer Cyclical
AXITA,Axita Cotton Limited,EQ,21-JUN-2022,1,1,INE02EZ01022,1,Consumer Cyclical
