SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
ABDL,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,2,1,INE552Z01027,2,Consumer Defensive
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,2,1,INE982B01027,2,Consumer Defensive
AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10,Consumer Defensive
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2,Consumer Defensive
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10,Consumer Defensive
ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10,Consumer Defensive
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10,Consumer Defensive
APTECHT,Aptech Limited,BE,27-SEP-2002,10,1,INE266F01018,10,Consumer Defensive
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,10,1,INE073G01016,10,Consumer Defensive
ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,10,1,INE991I01015,10,Consumer Defensive
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10,1,INE349W01017,10,Consumer Defensive
AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1,1,INE871C01038,1,Consumer Defensive
AWL,AWL Agri Business Limited,EQ,08-FEB-2022,1,1,INE699H01024,1,Consumer Defensive
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1,1,INE933K01021,1,Consumer Defensive
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1,1,INE306A01021,1,Consumer Defensive
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,INE119A01028,1,Consumer Defensive
BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10,1,INE459A01010,10,Consumer Defensive
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,INE050A01025,2,Consumer Defensive
BCLIND,Bcl Industries Limited,EQ,04-MAR-2021,1,1,INE412G01024,1,Consumer Defensive
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020,10,1,INE495P01012,10,Consumer Defensive
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,INE00E101023,1,Consumer Defensive
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1,1,INE216A01030,1,Consumer Defensive
CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2,1,INE421D01022,2,Consumer Defensive
CLEDUCATE,CL Educate Limited,EQ,31-MAR-2017,5,1,INE201M01029,5,Consumer Defensive
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-MAY-2021,2,1,INE419D01026,2,Consumer Defensive
COASTCORP,Coastal Corporation Limited,EQ,08-OCT-2021,2,1,INE377E01024,2,Consumer Defensive
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1,1,INE259A01022,1,Consumer Defensive
COMPUSOFT,Compucom Software Limited,EQ,02-MAR-2012,2,1,INE453B01029,2,Consumer Defensive
CRIZAC,Crizac Limited,EQ,09-JUL-2025,2,1,INE0S4R01014,2,Consumer Defensive
CUPID,Cupid Limited,EQ,16-SEP-2016,1,1,INE509F01029,1,Consumer Defensive
DABUR,Dabur India Limited,EQ,28-APR-1999,1,1,INE016A01026,1,Consumer Defensive
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-JAN-1996,2,1,INE495A01022,2,Consumer Defensive
DAVANGERE,Davangere Sugar Company Limited,EQ,25-JAN-2024,1,1,INE179G01029,1,Consumer Defensive
DBOL,Dhampur Bio Organics Limited,EQ,08-SEP-2022,10,1,INE0I3401014,10,Consumer Defensive
DCMSRIND,DCM Shriram Industries Limited,EQ,24-DEC-2021,2,1,INE843D01027,2,Consumer Defensive
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10,1,INE041A01016,10,Consumer Defensive
DIAMONDYD,Prataap Snacks Limited,EQ,05-OCT-2017,5,1,INE393P01035,5,Consumer Defensive
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10,1,INE192R01011,10,Consumer Defensive
DODLA,Dodla Dairy Limited,EQ,28-JUN-2021,10,1,INE021O01019,10,Consumer Defensive
DTIL,Dhunseri Tea & Industries Limited,EQ,20-JAN-2015,10,1,INE341R01014,10,Consumer Defensive
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,1,1,INE366A01041,1,Consumer Defensive
EIFFL,Euro India Fresh Foods Limited,BE,12-OCT-2021,10,1,INE546V01010,10,Consumer Defensive
EMAMILTD,Emami Limited,EQ,03-AUG-2006,1,1,INE548C01032,1,Consumer Defensive
ESSENTIA,Integra Essentia Limited,EQ,20-AUG-2013,1,1,INE418N01035,1,Consumer Defensive
FOODSIN,Foods & Inns Limited,BE,16-NOV-2021,1,1,INE976E01023,1,Consumer Defensive
