SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10,Financial Services
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1,Financial Services
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10,Financial Services
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10,1,INE883F01010,10,Financial Services
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10,Financial Services
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10,Financial Services
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5,Financial Services
AFIL,Akme Fintrade (India) Limited,EQ,26-JUN-2024,1,1,INE916Y01027,1,Financial Services
AFSL,Abans Financial Services Limited,EQ,23-DEC-2022,2,1,INE00ZE01026,2,Financial Services
AIIL,Authum Investment & Infrastructure Limited,EQ,23-APR-2024,1,1,INE206F01022,1,Financial Services
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,1,1,INE326B01035,1,Financial Services
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5,Financial Services
ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10,Financial Services
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2,Financial Services
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021,1,1,INE420B01036,1,Financial Services
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10,1,INE109C01017,10,Financial Services
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10,Financial Services
AUSOMENT,Ausom Enterprise Limited,BE,17-APR-1996,10,1,INE218C01016,10,Financial Services
AVONMORE,Avonmore Capital & Management Services Limited,EQ,04-JAN-2023,1,1,INE323B01024,1,Financial Services
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2,Financial Services
BAIDFIN,Baid Finserv Limited,EQ,20-JAN-2023,2,1,INE020D01022,2,Financial Services
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1,Financial Services
BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-SEP-2024,10,1,INE377Y01014,10,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10,1,INE118A01012,10,Financial Services
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,1,1,INE296A01032,1,Financial Services
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10,Financial Services
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2,Financial Services
BANKINDIA,Bank of India,EQ,30-APR-1997,10,1,INE084A01016,10,Financial Services
BFINVEST,BF Investment Limited,EQ,14-JAN-2011,5,1,INE878K01010,5,Financial Services
BIRLAMONEY,Aditya Birla Money Limited,EQ,07-FEB-2008,1,1,INE865C01022,1,Financial Services
BLAL,BEML Land Assets Limited,EQ,19-APR-2023,10,1,INE0N7W01012,10,Financial Services
BLBLIMITED,BLB Limited,EQ,31-MAY-2000,1,1,INE791A01024,1,Financial Services
BSE,BSE Limited,EQ,03-FEB-2017,2,1,INE118H01025,2,Financial Services
CANBK,Canara Bank,EQ,23-DEC-2002,2,1,INE476A01022,2,Financial Services
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2,1,INE477A01020,2,Financial Services
CAPITALSFB,Capital Small Finance Bank Limited,EQ,14-FEB-2024,10,1,INE646H01017,10,Financial Services
CAPTRUST,Capital Trust Limited,BE,16-JAN-2017,10,1,INE707C01018,10,Financial Services
CARERATING,CARE Ratings Limited,EQ,26-DEC-2012,10,1,INE752H01013,10,Financial Services
CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,10,1,INE736A01011,10,Financial Services
CENTRALBK,Central Bank of India,EQ,21-AUG-2007,10,1,INE483A01010,10,Financial Services
CENTRUM,Centrum Capital Limited,BE,04-APR-2018,1,1,INE660C01027,1,Financial Services
CGCL,Capri Global Capital Limited,EQ,29-OCT-2010,1,1,INE180C01042,1,Financial Services
CHOICEIN,Choice International Limited,EQ,08-APR-2022,10,1,INE102B01014,10,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2,1,INE121A01024,2,Financial Services
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-SEP-2017,1,1,INE149A01033,1,Financial Services
CIFL,Capital India Finance Limited,EQ,17-APR-2025,2,1,INE345H01024,2,Financial Services
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-MAR-2005,10,1,INE025A01027,10,Financial Services
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-AUG-2018,10,1,INE741K01010,10,Financial Services
CREST,Crest Ventures Limited,EQ,27-DEC-2006,10,1,INE559D01011,10,Financial Services
CRISIL,CRISIL Limited,EQ,28-JUN-1995,1,1,INE007A01025,1,Financial Services
CSBBANK,CSB Bank Limited,EQ,04-DEC-2019,10,1,INE679A01013,10,Financial Services
CSLFINANCE,CSL Finance Limited,EQ,21-JUL-2022,10,1,INE718F01018,10,Financial Services
CUB,City Union Bank Limited,EQ,25-AUG-1998,1,1,INE491A01021,1,Financial Services
DAMCAPITAL,Dam Capital Advisors Limited,EQ,27-DEC-2024,2,1,INE284H01025,2,Financial Services
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-FEB-2012,2,1,INE921B01025,2,Financial Services
DCBBANK,DCB Bank Limited,EQ,27-OCT-2006,10,1,INE503A01015,10,Financial Services
DCMFINSERV,DCM Financial Services Limited,BE,21-MAY-1997,10,1,INE891B01012,10,Financial Services
DELPHIFX,DELPHI WORLD MONEY LIMITED,BE,28-JUN-2011,10,1,INE726L01019,10,Financial Services
