SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,BE,06-AUG-2021,10,1,INE198H01019,10,Healthcare
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10,Healthcare
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5,1,INE0LRU01027,5,Healthcare
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10,Healthcare
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-FEB-2025,1,1,INE943P01029,1,Healthcare
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2,Healthcare
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,2,1,INE09XN01023,2,Healthcare
ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10,Healthcare
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2,Healthcare
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2,Healthcare
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10,Healthcare
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1,Healthcare
ANTHEM,Anthem Biosciences Limited,EQ,21-JUL-2025,2,1,INE0CZ201020,2,Healthcare
ANUHPHR,Anuh Pharma Limited,EQ,20-DEC-2024,5,1,INE489G01022,5,Healthcare
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2,Healthcare
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5,Healthcare
ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10,1,INE914M01019,10,Healthcare
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2,Healthcare
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1,Healthcare
BAFNAPH,Bafna Pharmaceuticals Limited,EQ,27-FEB-2020,10,1,INE878I01022,10,Healthcare
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021,5,1,INE411U01027,5,Healthcare
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-NOV-2015,2,1,INE618N01022,2,Healthcare
BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,10,1,INE083D01012,10,Healthcare
BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5,Healthcare
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,BE,12-JUN-1996,10,1,INE829A01014,10,Healthcare
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1,1,INE416D01022,1,Healthcare
BLUEJET,Blue Jet Healthcare Limited,EQ,01-NOV-2023,2,1,INE0KBH01020,2,Healthcare
BROOKS,Brooks Laboratories Limited,BE,05-SEP-2011,10,1,INE650L01011,10,Healthcare
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-JUN-2014,2,1,INE475E01026,2,Healthcare
CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2,Healthcare
COHANCE,Cohance Lifesciences Limited,EQ,09-MAR-2020,1,1,INE03QK01018,1,Healthcare
CONCORDBIO,Concord Biotech Limited,EQ,18-AUG-2023,1,1,INE338H01029,1,Healthcare
DCAL,Dishman Carbogen Amcis Limited,BE,21-SEP-2017,2,1,INE385W01011,2,Healthcare
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2,1,INE361B01024,2,Healthcare
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,1,1,INE089A01031,1,Healthcare
EMCURE,Emcure Pharmaceuticals Limited,EQ,10-JUL-2024,10,1,INE168P01015,10,Healthcare
ENTERO,Entero Healthcare Solutions Limited,EQ,16-FEB-2024,10,1,INE010601016,10,Healthcare
ERIS,Eris Lifesciences Limited,EQ,29-JUN-2017,1,1,INE406M01024,1,Healthcare
FDC,FDC Limited,EQ,07-AUG-1997,1,1,INE258B01022,1,Healthcare
FISCHER,Fischer Medical Ventures Limited,EQ,10-JUL-2025,10,1,INE771F01025,10,Healthcare
FORTIS,Fortis Healthcare Limited,EQ,09-MAY-2007,10,1,INE061F01013,10,Healthcare
GLAND,Gland Pharma Limited,EQ,20-NOV-2020,1,1,INE068V01023,1,Healthcare
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-DEC-2000,10,1,INE159A01016,10,Healthcare
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-FEB-2000,1,1,INE935A01035,1,Healthcare
GPTHEALTH,GPT Healthcare Limited,EQ,29-FEB-2024,10,1,INE486R01017,10,Healthcare
GRANULES,Granules India Limited,EQ,20-JUN-2005,1,1,INE101D01020,1,Healthcare
GUFICBIO,Gufic Biosciences Limited,EQ,19-OCT-2004,1,1,INE742B01025,1,Healthcare
GUJTHEM,Gujarat Themis Biosyn Limited,EQ,25-FEB-2025,1,1,INE942C01045,1,Healthcare
HCG,Healthcare Global Enterprises Limited,EQ,30-MAR-2016,10,1,INE075I01017,10,Healthcare
HESTERBIO,Hester Biosciences Limited,EQ,13-MAR-2015,10,1,INE782E01017,10,Healthcare
HIKAL,Hikal Limited,EQ,14-FEB-2001,2,1,INE475B01022,2,Healthcare
IKS,Inventurus Knowledge Solutions Limited,EQ,19-DEC-2024,1,1,INE115Q01022,1,Healthcare
INDGN,Indegene Limited,EQ,13-MAY-2024,2,1,INE065X01017,2,Healthcare
INDOCO,Indoco Remedies Limited,EQ,14-JAN-2005,2,1,INE873D01024,2,Healthcare
INDRAMEDCO,Indraprastha Medical Corporation Limited,EQ,17-APR-1997,10,1,INE681B01017,10,Healthcare
INDSWFTLAB,Ind-Swift Laboratories Limited,BE,02-JUL-1997,10,1,INE915B01019,10,Healthcare
INDSWFTLTD,Ind-Swift Limited,EQ,18-OCT-2004,2,1,INE788B01028,2,Healthcare
INNOVACAP,Innova Captab Limited,EQ,29-DEC-2023,10,1,INE0DUT01020,10,Healthcare
IOLCP,IOL Chemicals and Pharmaceuticals Limited,EQ,08-NOV-2010,2,1,INE485C01029,2,Healthcare
IPCALAB,IPCA Laboratories Limited,EQ,08-FEB-1995,1,1,INE571A01038,1,Healthcare
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,EQ,01-MAR-2000,2,1,INE048B01035,2,Healthcare
