SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
AGIIL,Agi Infra Limited,EQ,15-JUL-2024,5,1,INE976R01025,5,Real Estate
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10,Real Estate
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2,Real Estate
AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2,Real Estate
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2,Real Estate
ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-JAN-2006,5,1,INE436A01026,5,Real Estate
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10,1,INE643K01018,10,Real Estate
ARKADE,Arkade Developers Limited,EQ,24-SEP-2024,10,1,INE0QRL01017,10,Real Estate
ARTNIRMAN,Art Nirman Limited,BE,18-OCT-2021,10,1,INE738V01013,10,Real Estate
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10,1,INE034S01021,10,Real Estate
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2,1,INE365D01021,2,Real Estate
AURUM,Aurum PropTech Limited,EQ,19-AUG-2015,5,1,INE898S01029,5,Real Estate
BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10,1,INE791I01019,10,Real Estate
CORALFINAC,Coral India Finance & Housing Limited,EQ,25-MAR-1996,2,1,INE558D01021,2,Real Estate
COUNCODOS,Country Condo's Limited,BE,22-JAN-2009,1,1,INE695B01025,1,Real Estate
DBREALTY,Valor Estate Limited,EQ,24-FEB-2010,10,1,INE879I01012,10,Real Estate
DHARAN,DHARAN INFRA-EPC LIMITED,BE,02-APR-2018,1,1,INE278R01034,1,Real Estate
DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2,Real Estate
ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-APR-2022,2,1,INE668G01021,2,Real Estate
EMAMIREAL,Emami Realty Limited,BE,28-JUL-2010,2,1,INE778K01012,2,Real Estate
EMBDL,Embassy Developments Limited,EQ,23-MAR-2007,2,1,INE069I01010,2,Real Estate
EUROTEXIND,Eurotex Industries and Exports Limited,EQ,31-JAN-1996,10,1,INE022C01012,10,Real Estate
FMNL,Future Market Networks Limited,BE,31-DEC-2010,10,1,INE360L01017,10,Real Estate
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-MAR-2007,10,1,INE460C01014,10,Real Estate
GEECEE,GeeCee Ventures Limited,EQ,04-OCT-2006,10,1,INE916G01016,10,Real Estate
GODREJPROP,Godrej Properties Limited,EQ,05-JAN-2010,5,1,INE484J01027,5,Real Estate
HDIL,Housing Development and Infrastructure Limited,BZ,24-JUL-2007,10,1,INE191I01012,10,Real Estate
HEMIPROP,Hemisphere Properties India Limited,EQ,22-OCT-2020,10,1,INE0AJG01018,10,Real Estate
HUBTOWN,Hubtown Limited,EQ,07-FEB-2007,10,1,INE703H01016,10,Real Estate
ICDSLTD,ICDS Limited,BE,17-NOV-1999,10,1,INE613B01010,10,Real Estate
INDIQUBE,Indiqube Spaces Limited,EQ,30-JUL-2025,1,1,INE06ST01018,1,Real Estate
KALPATARU,Kalpataru Limited,EQ,01-JUL-2025,10,1,INE227J01012,10,Real Estate
KOLTEPATIL,Kolte - Patil Developers Limited,EQ,13-DEC-2007,10,1,INE094I01018,10,Real Estate
LANCORHOL,Lancor Holdings Limited,EQ,12-MAR-2024,2,1,INE572G01025,2,Real Estate
LODHA,Lodha Developers Limited,EQ,19-APR-2021,10,1,INE670K01029,10,Real Estate
LPDC,Landmark Property Development Company Limited,EQ,12-AUG-2008,1,1,INE197J01017,1,Real Estate
MAHLIFE,Mahindra Lifespace Developers Limited,EQ,10-MAY-2000,10,1,INE813A01018,10,Real Estate
MARATHON,Marathon Nextgen Realty Limited,EQ,29-SEP-2016,5,1,INE182D01020,5,Real Estate
MAXESTATES,Max Estates Limited,EQ,30-OCT-2023,10,1,INE03EI01018,10,Real Estate
MODIRUBBER,Modi Rubber Limited,BE,07-FEB-1996,10,1,INE832A01018,10,Real Estate
MOTOGENFIN,The Motor & General Finance Limited,EQ,08-FEB-1995,5,1,INE861B01023,5,Real Estate
NILAINFRA,Nila Infrastructures Limited,EQ,21-MAY-2015,1,1,INE937C01029,1,Real Estate
NILASPACES,Nila Spaces Limited,EQ,28-DEC-2018,1,1,INE00S901012,1,Real Estate
