SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-NOV-2024,2,1,INE622W01025,2,Utilities
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10,Utilities
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10,Utilities
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10,Utilities
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1,1,INE399L01023,1,Utilities
BAJEL,Bajel Projects Limited,BE,19-DEC-2023,2,1,INE0KQN01018,2,Utilities
CESC,CESC Limited,EQ,08-FEB-1995,1,1,INE486A01021,1,Utilities
CEWATER,Concord Enviro Systems Limited,EQ,27-DEC-2024,5,1,INE037Z01029,5,Utilities
DPSCLTD,DPSC Limited,EQ,21-APR-2008,1,1,INE360C01024,1,Utilities
ENERGYDEV,Energy Development Company Limited,BE,02-NOV-2007,10,1,INE306C01019,10,Utilities
ENRIN,Siemens Energy India Limited,EQ,19-JUN-2025,2,1,INE1NPP01017,2,Utilities
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10,Utilities
GIPCL,Gujarat Industries Power Company Limited,EQ,08-FEB-1995,10,1,INE162A01010,10,Utilities
GREENPOWER,Orient Green Power Company Limited,EQ,08-OCT-2010,10,1,INE999K01014,10,Utilities
GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10,1,INE246F01010,10,Utilities
GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,2,1,INE844O01030,2,Utilities
GVKPIL,GVK Power & Infrastructure Limited,BE,27-FEB-2006,1,1,INE251H01024,1,Utilities
IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,2,1,INE203G01027,2,Utilities
INDOWIND,Indowind Energy Limited,EQ,14-SEP-2007,10,1,INE227G01018,10,Utilities
INOXGREEN,Inox Green Energy Services Limited,BE,23-NOV-2022,10,1,INE510W01014,10,Utilities
IRMENERGY,IRM Energy Limited,EQ,26-OCT-2023,10,1,INE07U701015,10,Utilities
JPPOWER,Jaiprakash Power Ventures Limited,EQ,18-APR-2005,10,1,INE351F01018,10,Utilities
JSWENERGY,JSW Energy Limited,EQ,04-JAN-2010,10,1,INE121E01018,10,Utilities
KARMAENG,Karma Energy Limited,BE,28-JUN-2011,10,1,INE725L01011,10,Utilities
KPIGREEN,KPI Green Energy Limited,EQ,27-JUL-2021,5,1,INE542W01025,5,Utilities
MGL,Mahanagar Gas Limited,EQ,01-JUL-2016,10,1,INE002S01010,10,Utilities
NHPC,NHPC Limited,EQ,01-SEP-2009,10,1,INE848E01016,10,Utilities
NLCINDIA,NLC India Limited,EQ,23-AUG-2000,10,1,INE589A01014,10,Utilities
